Key,Value
1145,14
1146,6
1147,15
1148,1
1149,11
1150,4
1151,3
1152,3
1153,1
1154,7
1155,1
1156,1
1157,1
1158,7
1159,1
1160,3
1161,6
1162,11
1163,4
1164,7
1165,7
1166,10
1167,3
1168,3
1169,1
1170,2
1171,10
1172,9
1173,21
1174,21
1175,9
1176,2
1177,16
1178,14
1179,1
1180,7
1181,3
1182,2
1183,2
1184,17
1185,1
1186,7
1187,1
1188,12
1189,6
1190,7
1191,23
1192,9
1193,4
1194,1
1195,12
1196,8
1197,9
1198,13
1199,3
1200,4
1201,9
1202,8
1203,15
1204,7
1205,2
1206,4
1207,3
1208,1
1209,4
1210,17
1211,10
1212,1
1213,6
1214,1
1215,1
1216,17
1217,6
1218,4
1219,21
1220,4
1221,6
1222,4
1223,16
1224,3
1225,17
1226,2
1227,28
1228,12
1229,1
1230,6
1231,1
1232,2
1233,6
1234,2
1235,4
1236,7
1237,1
